"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"1","age 16-17?","lvl 1","88 %","93 %","92 %","92 %","95 %"
"2","age 16-17?","lvl 2","12 %","7 %","8 %","6 %","5 %"
"3","age 16-17?","lvl 3","0 %","0 %","0 %","3 %","0 %"
"4","age 16-17?","lvl 4","0 %","0 %","0 %","0 %","0 %"
"5","age 16-17?","lvl 5","0 %","0 %","0 %","0 %","0 %"
"6","age 18-20?","lvl 1","92 %","78 %","95 %","84 %","74 %"
"7","age 18-20?","lvl 2","8 %","22 %","2 %","12 %","16 %"
"8","age 18-20?","lvl 3","0 %","0 %","3 %","4 %","3 %"
"9","age 18-20?","lvl 4","0 %","0 %","0 %","0 %","7 %"
"10","age 18-20?","lvl 5","0 %","0 %","0 %","0 %","0 %"
"11","age 20-24","lvl 1","88 %","84 %","87 %","88 %","83 %"
"12","age 20-24","lvl 2","10 %","9 %","10 %","7 %","11 %"
"13","age 20-24","lvl 3","2 %","5 %","4 %","5 %","4 %"
"14","age 20-24","lvl 4","0 %","2 %","0 %","1 %","2 %"
"15","age 20-24","lvl 5","0 %","0 %","0 %","0 %","0 %"
"16","age 25-29","lvl 1","81 %","95 %","85 %","87 %","85 %"
"17","age 25-29","lvl 2","18 %","5 %","12 %","10 %","9 %"
"18","age 25-29","lvl 3","1 %","0 %","2 %","2 %","5 %"
"19","age 25-29","lvl 4","0 %","0 %","1 %","1 %","1 %"
"20","age 25-29","lvl 5","0 %","0 %","0 %","1 %","0 %"
"21","age 30-34","lvl 1","92 %","94 %","87 %","83 %","83 %"
"22","age 30-34","lvl 2","4 %","4 %","6 %","13 %","11 %"
"23","age 30-34","lvl 3","4 %","1 %","6 %","3 %","5 %"
"24","age 30-34","lvl 4","1 %","1 %","1 %","1 %","0 %"
"25","age 30-34","lvl 5","0 %","0 %","0 %","0 %","1 %"
"26","age 35-39","lvl 1","85 %","90 %","87 %","87 %","84 %"
"27","age 35-39","lvl 2","9 %","6 %","6 %","6 %","7 %"
"28","age 35-39","lvl 3","5 %","1 %","5 %","6 %","4 %"
"29","age 35-39","lvl 4","0 %","2 %","2 %","1 %","4 %"
"30","age 35-39","lvl 5","0 %","1 %","0 %","0 %","1 %"
"31","age 40-44","lvl 1","92 %","84 %","84 %","83 %","78 %"
"32","age 40-44","lvl 2","7 %","11 %","9 %","6 %","11 %"
"33","age 40-44","lvl 3","1 %","5 %","5 %","6 %","5 %"
"34","age 40-44","lvl 4","0 %","1 %","3 %","4 %","4 %"
"35","age 40-44","lvl 5","0 %","0 %","0 %","1 %","1 %"
"36","age 45-49","lvl 1","90 %","77 %","80 %","78 %","65 %"
"37","age 45-49","lvl 2","6 %","11 %","14 %","11 %","15 %"
"38","age 45-49","lvl 3","2 %","7 %","3 %","6 %","12 %"
"39","age 45-49","lvl 4","1 %","4 %","1 %","4 %","6 %"
"40","age 45-49","lvl 5","0 %","1 %","1 %","1 %","3 %"
"41","age 50-54","lvl 1","82 %","84 %","82 %","73 %","67 %"
"42","age 50-54","lvl 2","10 %","8 %","9 %","16 %","11 %"
"43","age 50-54","lvl 3","4 %","4 %","3 %","6 %","8 %"
"44","age 50-54","lvl 4","2 %","2 %","4 %","4 %","13 %"
"45","age 50-54","lvl 5","1 %","2 %","1 %","1 %","1 %"
"46","age 55-59","lvl 1","85 %","82 %","74 %","70 %","66 %"
"47","age 55-59","lvl 2","10 %","11 %","13 %","13 %","11 %"
"48","age 55-59","lvl 3","3 %","6 %","10 %","6 %","13 %"
"49","age 55-59","lvl 4","2 %","1 %","2 %","8 %","7 %"
"50","age 55-59","lvl 5","0 %","0 %","1 %","3 %","3 %"
"51","age 60-64","lvl 1","83 %","75 %","74 %","65 %","47 %"
"52","age 60-64","lvl 2","11 %","14 %","16 %","14 %","24 %"
"53","age 60-64","lvl 3","4 %","9 %","6 %","16 %","16 %"
"54","age 60-64","lvl 4","3 %","1 %","3 %","4 %","11 %"
"55","age 60-64","lvl 5","0 %","1 %","1 %","2 %","2 %"
"56","age 65-69","lvl 1","77 %","80 %","79 %","66 %","59 %"
"57","age 65-69","lvl 2","12 %","12 %","10 %","18 %","16 %"
"58","age 65-69","lvl 3","6 %","6 %","8 %","7 %","14 %"
