"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"1","age 16-17?","lvl 1","91 %","90 %","92 %","83 %","96 %"
"2","age 16-17?","lvl 2","9 %","10 %","8 %","17 %","2 %"
"3","age 16-17?","lvl 3","0 %","0 %","0 %","0 %","2 %"
"4","age 16-17?","lvl 4","0 %","0 %","0 %","0 %","0 %"
"5","age 16-17?","lvl 5","0 %","0 %","0 %","0 %","0 %"
"6","age 18-20?","lvl 1","88 %","95 %","90 %","84 %","90 %"
"7","age 18-20?","lvl 2","7 %","5 %","6 %","13 %","6 %"
"8","age 18-20?","lvl 3","5 %","0 %","3 %","3 %","5 %"
"9","age 18-20?","lvl 4","0 %","0 %","0 %","0 %","0 %"
"10","age 18-20?","lvl 5","0 %","0 %","0 %","0 %","0 %"
"11","age 20-24","lvl 1","88 %","87 %","93 %","87 %","87 %"
"12","age 20-24","lvl 2","12 %","5 %","6 %","11 %","10 %"
"13","age 20-24","lvl 3","0 %","6 %","1 %","1 %","1 %"
"14","age 20-24","lvl 4","0 %","2 %","0 %","1 %","1 %"
"15","age 20-24","lvl 5","0 %","0 %","0 %","0 %","0 %"
"16","age 25-29","lvl 1","91 %","96 %","85 %","90 %","87 %"
"17","age 25-29","lvl 2","5 %","4 %","11 %","8 %","9 %"
"18","age 25-29","lvl 3","4 %","0 %","2 %","0 %","2 %"
"19","age 25-29","lvl 4","0 %","0 %","2 %","1 %","2 %"
"20","age 25-29","lvl 5","0 %","0 %","0 %","1 %","0 %"
"21","age 30-34","lvl 1","90 %","94 %","88 %","86 %","90 %"
"22","age 30-34","lvl 2","4 %","4 %","8 %","12 %","7 %"
"23","age 30-34","lvl 3","4 %","1 %","3 %","1 %","4 %"
"24","age 30-34","lvl 4","1 %","2 %","1 %","1 %","0 %"
"25","age 30-34","lvl 5","0 %","0 %","0 %","0 %","0 %"
"26","age 35-39","lvl 1","92 %","89 %","91 %","86 %","87 %"
"27","age 35-39","lvl 2","6 %","8 %","6 %","10 %","7 %"
"28","age 35-39","lvl 3","2 %","1 %","3 %","3 %","2 %"
"29","age 35-39","lvl 4","0 %","2 %","0 %","2 %","2 %"
"30","age 35-39","lvl 5","0 %","0 %","0 %","0 %","2 %"
"31","age 40-44","lvl 1","93 %","86 %","82 %","83 %","80 %"
"32","age 40-44","lvl 2","5 %","9 %","11 %","8 %","11 %"
"33","age 40-44","lvl 3","1 %","3 %","4 %","5 %","3 %"
"34","age 40-44","lvl 4","1 %","2 %","3 %","4 %","5 %"
"35","age 40-44","lvl 5","0 %","0 %","0 %","1 %","1 %"
