"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"1","age 16-17?","lvl 1","68 %","74 %","80 %","54 %","74 %"
"2","age 16-17?","lvl 2","21 %","21 %","14 %","38 %","16 %"
"3","age 16-17?","lvl 3","5 %","4 %","6 %","8 %","9 %"
"4","age 16-17?","lvl 4","5 %","0 %","0 %","0 %","2 %"
"5","age 16-17?","lvl 5","0 %","0 %","0 %","0 %","0 %"
"6","age 18-20?","lvl 1","83 %","55 %","80 %","77 %","73 %"
"7","age 18-20?","lvl 2","9 %","34 %","15 %","17 %","4 %"
"8","age 18-20?","lvl 3","8 %","11 %","5 %","6 %","12 %"
"9","age 18-20?","lvl 4","0 %","0 %","0 %","0 %","7 %"
"10","age 18-20?","lvl 5","0 %","0 %","0 %","0 %","5 %"
"11","age 20-24","lvl 1","70 %","71 %","81 %","76 %","66 %"
"12","age 20-24","lvl 2","20 %","15 %","14 %","16 %","20 %"
"13","age 20-24","lvl 3","10 %","11 %","5 %","8 %","10 %"
"14","age 20-24","lvl 4","0 %","4 %","0 %","0 %","3 %"
"15","age 20-24","lvl 5","0 %","0 %","0 %","0 %","0 %"
"16","age 25-29","lvl 1","68 %","81 %","66 %","70 %","67 %"
"17","age 25-29","lvl 2","25 %","17 %","27 %","21 %","21 %"
"18","age 25-29","lvl 3","6 %","2 %","3 %","7 %","7 %"
"19","age 25-29","lvl 4","1 %","0 %","3 %","2 %","2 %"
"20","age 25-29","lvl 5","0 %","0 %","1 %","0 %","3 %"
"21","age 30-34","lvl 1","78 %","76 %","69 %","57 %","65 %"
"22","age 30-34","lvl 2","14 %","18 %","19 %","32 %","18 %"
"23","age 30-34","lvl 3","7 %","3 %","9 %","6 %","12 %"
"24","age 30-34","lvl 4","1 %","2 %","3 %","3 %","4 %"
"25","age 30-34","lvl 5","0 %","1 %","0 %","3 %","1 %"
"26","age 35-39","lvl 1","59 %","60 %","62 %","59 %","60 %"
"27","age 35-39","lvl 2","31 %","30 %","26 %","31 %","21 %"
"28","age 35-39","lvl 3","8 %","8 %","9 %","6 %","12 %"
"29","age 35-39","lvl 4","1 %","2 %","4 %","2 %","5 %"
"30","age 35-39","lvl 5","0 %","0 %","0 %","2 %","2 %"
"31","age 40-44","lvl 1","73 %","61 %","55 %","54 %","54 %"
"32","age 40-44","lvl 2","19 %","25 %","29 %","22 %","27 %"
"33","age 40-44","lvl 3","7 %","9 %","10 %","15 %","13 %"
"34","age 40-44","lvl 4","1 %","2 %","4 %","8 %","5 %"
"35","age 40-44","lvl 5","0 %","2 %","1 %","1 %","1 %"
"36","age 45-49","lvl 1","60 %","47 %","54 %","56 %","34 %"
"37","age 45-49","lvl 2","32 %","32 %","30 %","23 %","34 %"
"38","age 45-49","lvl 3","4 %","13 %","15 %","12 %","18 %"
"39","age 45-49","lvl 4","2 %","6 %","2 %","7 %","11 %"
"40","age 45-49","lvl 5","1 %","2 %","0 %","2 %","3 %"
"41","age 50-54","lvl 1","57 %","53 %","50 %","41 %","40 %"
"42","age 50-54","lvl 2","30 %","34 %","32 %","35 %","21 %"
"43","age 50-54","lvl 3","9 %","9 %","12 %","17 %","26 %"
"44","age 50-54","lvl 4","3 %","3 %","5 %","5 %","8 %"
"45","age 50-54","lvl 5","1 %","1 %","1 %","3 %","5 %"
"46","age 55-59","lvl 1","57 %","50 %","43 %","44 %","48 %"
"47","age 55-59","lvl 2","32 %","34 %","33 %","33 %","22 %"
"48","age 55-59","lvl 3","9 %","11 %","17 %","9 %","16 %"
"49","age 55-59","lvl 4","1 %","5 %","5 %","10 %","10 %"
"50","age 55-59","lvl 5","1 %","0 %","2 %","4 %","4 %"
"51","age 60-64","lvl 1","60 %","43 %","42 %","34 %","30 %"
"52","age 60-64","lvl 2","30 %","38 %","34 %","29 %","29 %"
"53","age 60-64","lvl 3","9 %","11 %","16 %","26 %","20 %"
"54","age 60-64","lvl 4","1 %","6 %","7 %","10 %","17 %"
"55","age 60-64","lvl 5","0 %","3 %","0 %","1 %","4 %"
"56","age 65-69","lvl 1","42 %","45 %","44 %","34 %","27 %"
"57","age 65-69","lvl 2","29 %","34 %","34 %","36 %","25 %"
"58","age 65-69","lvl 3","20 %","13 %","15 %","19 %","22 %"
"59","age 65-69","lvl 4","9 %","5 %","7 %","7 %","18 %"
"60","age 65-69","lvl 5","0 %","2 %","1 %","4 %","8 %"
"61","age 70-74","lvl 1","43 %","42 %","36 %","29 %","28 %"
"62","age 70-74","lvl 2","39 %","35 %","31 %","33 %","29 %"
"63","age 70-74","lvl 3","14 %","18 %","22 %","28 %","23 %"
"64","age 70-74","lvl 4","4 %","4 %","10 %","9 %","18 %"
"65","age 70-74","lvl 5","0 %","1 %","1 %","1 %","1 %"
"66","age 75-79","lvl 1","34 %","36 %","32 %","28 %","25 %"
"67","age 75-79","lvl 2","40 %","24 %","35 %","23 %","33 %"
"68","age 75-79","lvl 3","23 %","26 %","20 %","36 %","31 %"
"69","age 75-79","lvl 4","3 %","13 %","12 %","9 %","11 %"
"70","age 75-79","lvl 5","1 %","1 %","1 %","4 %","0 %"
"71","age 80-84","lvl 1","30 %","30 %","34 %","28 %","23 %"
"72","age 80-84","lvl 2","33 %","26 %","31 %","30 %","42 %"
"73","age 80-84","lvl 3","30 %","33 %","24 %","28 %","19 %"
"74","age 80-84","lvl 4","5 %","9 %","10 %","12 %","14 %"
"75","age 80-84","lvl 5","2 %","2 %","1 %","2 %","2 %"
"76","age 85-89","lvl 1","26 %","31 %","34 %","19 %","16 %"
"77","age 85-89","lvl 2","36 %","37 %","23 %","44 %","22 %"
"78","age 85-89","lvl 3","29 %","28 %","29 %","13 %","41 %"
"79","age 85-89","lvl 4","9 %","3 %","14 %","25 %","10 %"
"80","age 85-89","lvl 5","0 %","1 %","0 %","0 %","11 %"
"81","age 90+","lvl 1","21 %","29 %","36 %","11 %","20 %"
"82","age 90+","lvl 2","47 %","34 %","46 %","48 %","41 %"
"83","age 90+","lvl 3","27 %","20 %","18 %","25 %","39 %"
