"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"1","age 16-17?","lvl 1","96 %","96 %","98 %","98 %","99 %"
"2","age 16-17?","lvl 2","4 %","4 %","2 %","2 %","1 %"
"3","age 16-17?","lvl 3","1 %","0 %","0 %","0 %","0 %"
"4","age 18-20?","lvl 1","97 %","97 %","97 %","98 %","91 %"
"5","age 18-20?","lvl 2","3 %","3 %","3 %","2 %","9 %"
"6","age 18-20?","lvl 3","0 %","0 %","0 %","0 %","0 %"
"7","age 20-24","lvl 1","97 %","97 %","95 %","96 %","94 %"
"8","age 20-24","lvl 2","3 %","3 %","5 %","4 %","6 %"
"9","age 20-24","lvl 3","0 %","0 %","0 %","0 %","0 %"
"10","age 25-29","lvl 1","96 %","96 %","97 %","94 %","94 %"
"11","age 25-29","lvl 2","4 %","4 %","3 %","6 %","5 %"
"12","age 25-29","lvl 3","0 %","0 %","0 %","0 %","0 %"
"13","age 30-34","lvl 1","97 %","96 %","95 %","93 %","91 %"
"14","age 30-34","lvl 2","3 %","4 %","5 %","7 %","9 %"
"15","age 30-34","lvl 3","0 %","0 %","0 %","0 %","0 %"
"16","age 35-39","lvl 1","96 %","93 %","93 %","91 %","87 %"
"17","age 35-39","lvl 2","4 %","7 %","6 %","9 %","13 %"
"18","age 35-39","lvl 3","0 %","0 %","0 %","0 %","0 %"
"19","age 40-44","lvl 1","95 %","93 %","91 %","89 %","82 %"
"20","age 40-44","lvl 2","5 %","7 %","9 %","11 %","18 %"
"21","age 40-44","lvl 3","0 %","0 %","0 %","0 %","1 %"
"22","age 45-49","lvl 1","92 %","91 %","88 %","84 %","75 %"
"23","age 45-49","lvl 2","8 %","9 %","12 %","15 %","25 %"
"24","age 45-49","lvl 3","0 %","0 %","0 %","0 %","0 %"
"25","age 50-54","lvl 1","89 %","86 %","81 %","76 %","67 %"
"26","age 50-54","lvl 2","11 %","14 %","19 %","24 %","32 %"
"27","age 50-54","lvl 3","0 %","0 %","0 %","0 %","1 %"
"28","age 55-59","lvl 1","86 %","81 %","77 %","73 %","63 %"
"29","age 55-59","lvl 2","14 %","19 %","23 %","27 %","37 %"
"30","age 55-59","lvl 3","0 %","0 %","0 %","0 %","0 %"
"31","age 60-64","lvl 1","83 %","79 %","75 %","70 %","60 %"
"32","age 60-64","lvl 2","17 %","21 %","25 %","30 %","40 %"
"33","age 60-64","lvl 3","0 %","0 %","0 %","0 %","0 %"
"34","age 65-69","lvl 1","78 %","76 %","72 %","63 %","58 %"
"35","age 65-69","lvl 2","22 %","24 %","28 %","36 %","42 %"
"36","age 65-69","lvl 3","0 %","0 %","0 %","0 %","0 %"
"37","age 70-74","lvl 1","70 %","65 %","61 %","56 %","55 %"
"38","age 70-74","lvl 2","30 %","35 %","39 %","44 %","45 %"
"39","age 70-74","lvl 3","0 %","0 %","0 %","0 %","0 %"
"40","age 75-79","lvl 1","65 %","53 %","56 %","51 %","43 %"
"41","age 75-79","lvl 2","35 %","47 %","44 %","48 %","57 %"
"42","age 75-79","lvl 3","0 %","0 %","0 %","0 %","0 %"
"43","age 80-84","lvl 1","50 %","50 %","43 %","40 %","30 %"
"44","age 80-84","lvl 2","50 %","50 %","56 %","59 %","69 %"
"45","age 80-84","lvl 3","0 %","0 %","1 %","1 %","1 %"
"46","age 85-89","lvl 1","37 %","36 %","30 %","24 %","27 %"
"47","age 85-89","lvl 2","63 %","64 %","70 %","76 %","73 %"
"48","age 85-89","lvl 3","0 %","0 %","0 %","0 %","0 %"
"49","age 90+","lvl 1","31 %","21 %","24 %","31 %","11 %"
"50","age 90+","lvl 2","69 %","77 %","74 %","67 %","89 %"
"51","age 90+","lvl 3","0 %","1 %","1 %","2 %","0 %"
