"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"1","age 16-17?","lvl 1","59 %","61 %","48 %","49 %","60 %"
"2","age 16-17?","lvl 2","20 %","23 %","40 %","23 %","24 %"
"3","age 16-17?","lvl 3","19 %","15 %","8 %","21 %","10 %"
"4","age 16-17?","lvl 4","1 %","0 %","3 %","4 %","4 %"
"5","age 16-17?","lvl 5","0 %","0 %","0 %","3 %","2 %"
"6","age 18-20?","lvl 1","60 %","59 %","67 %","55 %","52 %"
"7","age 18-20?","lvl 2","23 %","21 %","16 %","18 %","18 %"
"8","age 18-20?","lvl 3","17 %","10 %","17 %","19 %","11 %"
"9","age 18-20?","lvl 4","0 %","10 %","0 %","8 %","11 %"
"10","age 18-20?","lvl 5","0 %","0 %","0 %","0 %","7 %"
"11","age 20-24","lvl 1","60 %","53 %","52 %","61 %","66 %"
"12","age 20-24","lvl 2","28 %","23 %","26 %","22 %","12 %"
"13","age 20-24","lvl 3","3 %","18 %","14 %","11 %","14 %"
"14","age 20-24","lvl 4","10 %","2 %","3 %","2 %","6 %"
"15","age 20-24","lvl 5","0 %","4 %","5 %","3 %","2 %"
"16","age 25-29","lvl 1","67 %","67 %","71 %","56 %","57 %"
"17","age 25-29","lvl 2","19 %","23 %","15 %","29 %","27 %"
"18","age 25-29","lvl 3","13 %","8 %","11 %","9 %","10 %"
"19","age 25-29","lvl 4","1 %","1 %","1 %","6 %","5 %"
"20","age 25-29","lvl 5","0 %","0 %","2 %","0 %","3 %"
"21","age 30-34","lvl 1","74 %","57 %","61 %","66 %","62 %"
"22","age 30-34","lvl 2","17 %","27 %","23 %","25 %","18 %"
"23","age 30-34","lvl 3","7 %","15 %","13 %","7 %","13 %"
"24","age 30-34","lvl 4","1 %","1 %","1 %","1 %","5 %"
"25","age 30-34","lvl 5","0 %","0 %","1 %","1 %","2 %"
"26","age 35-39","lvl 1","64 %","67 %","62 %","63 %","71 %"
"27","age 35-39","lvl 2","21 %","22 %","24 %","22 %","15 %"
"28","age 35-39","lvl 3","11 %","10 %","11 %","10 %","9 %"
"29","age 35-39","lvl 4","4 %","2 %","3 %","2 %","4 %"
"30","age 35-39","lvl 5","0 %","0 %","0 %","2 %","1 %"
"31","age 40-44","lvl 1","73 %","70 %","60 %","72 %","59 %"
"32","age 40-44","lvl 2","23 %","23 %","24 %","17 %","26 %"
"33","age 40-44","lvl 3","4 %","6 %","8 %","7 %","12 %"
"34","age 40-44","lvl 4","1 %","1 %","6 %","2 %","2 %"
"35","age 40-44","lvl 5","0 %","0 %","1 %","3 %","1 %"
"36","age 45-49","lvl 1","72 %","67 %","64 %","63 %","61 %"
"37","age 45-49","lvl 2","21 %","14 %","22 %","23 %","20 %"
"38","age 45-49","lvl 3","6 %","14 %","11 %","8 %","11 %"
"39","age 45-49","lvl 4","1 %","3 %","1 %","6 %","3 %"
"40","age 45-49","lvl 5","0 %","2 %","2 %","1 %","4 %"
"41","age 50-54","lvl 1","68 %","69 %","69 %","56 %","54 %"
"42","age 50-54","lvl 2","22 %","22 %","23 %","27 %","17 %"
"43","age 50-54","lvl 3","6 %","7 %","8 %","9 %","19 %"
"44","age 50-54","lvl 4","1 %","2 %","1 %","4 %","6 %"
"45","age 50-54","lvl 5","2 %","0 %","1 %","4 %","3 %"
"46","age 55-59","lvl 1","79 %","66 %","70 %","62 %","55 %"
"47","age 55-59","lvl 2","14 %","23 %","13 %","19 %","21 %"
"48","age 55-59","lvl 3","5 %","9 %","8 %","12 %","15 %"
"49","age 55-59","lvl 4","2 %","1 %","7 %","4 %","7 %"
"50","age 55-59","lvl 5","0 %","1 %","2 %","3 %","3 %"
"51","age 60-64","lvl 1","73 %","73 %","68 %","68 %","53 %"
"52","age 60-64","lvl 2","22 %","17 %","21 %","16 %","28 %"
"53","age 60-64","lvl 3","5 %","8 %","9 %","11 %","13 %"
"54","age 60-64","lvl 4","0 %","2 %","2 %","4 %","1 %"
"55","age 60-64","lvl 5","0 %","1 %","0 %","1 %","4 %"
"56","age 65-69","lvl 1","78 %","71 %","66 %","65 %","63 %"
"57","age 65-69","lvl 2","16 %","23 %","21 %","21 %","13 %"
"58","age 65-69","lvl 3","3 %","6 %","10 %","13 %","17 %"
"59","age 65-69","lvl 4","1 %","1 %","2 %","1 %","7 %"
"60","age 65-69","lvl 5","1 %","0 %","0 %","0 %","1 %"
"61","age 70-74","lvl 1","74 %","74 %","69 %","71 %","64 %"
"62","age 70-74","lvl 2","20 %","21 %","23 %","17 %","24 %"
"63","age 70-74","lvl 3","5 %","5 %","6 %","10 %","12 %"
"64","age 70-74","lvl 4","1 %","0 %","1 %","1 %","0 %"
"65","age 70-74","lvl 5","0 %","0 %","1 %","1 %","0 %"
"66","age 75-79","lvl 1","70 %","69 %","71 %","66 %","54 %"
"67","age 75-79","lvl 2","21 %","19 %","14 %","17 %","23 %"
"68","age 75-79","lvl 3","9 %","10 %","12 %","12 %","12 %"
"69","age 75-79","lvl 4","0 %","2 %","3 %","5 %","11 %"
"70","age 75-79","lvl 5","0 %","0 %","0 %","0 %","0 %"
"71","age 80-84","lvl 1","65 %","64 %","68 %","65 %","84 %"
"72","age 80-84","lvl 2","25 %","29 %","26 %","25 %","11 %"
"73","age 80-84","lvl 3","10 %","3 %","4 %","10 %","6 %"
"74","age 80-84","lvl 4","0 %","3 %","2 %","1 %","0 %"
"75","age 80-84","lvl 5","0 %","1 %","0 %","0 %","0 %"
"76","age 85-89","lvl 1","60 %","65 %","74 %","64 %","54 %"
"77","age 85-89","lvl 2","34 %","27 %","19 %","31 %","22 %"
"78","age 85-89","lvl 3","3 %","8 %","4 %","4 %","15 %"
"79","age 85-89","lvl 4","3 %","0 %","4 %","0 %","6 %"
"80","age 85-89","lvl 5","0 %","0 %","0 %","0 %","3 %"
"81","age 90+","lvl 1","53 %","72 %","64 %","100 %","54 %"
"82","age 90+","lvl 2","36 %","10 %","36 %","0 %","37 %"
"83","age 90+","lvl 3","11 %","8 %","0 %","0 %","10 %"
"84","age 90+","lvl 4","0 %","10 %","0 %","0 %","0 %"
"85","age 90+","lvl 5","0 %","0 %","0 %","0 %","0 %"
