"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"1","age 16-17?","lvl 1","100 %","100 %","100 %","96 %","100 %"
"2","age 16-17?","lvl 2","0 %","0 %","0 %","4 %","0 %"
"3","age 16-17?","lvl 3","0 %","0 %","0 %","0 %","0 %"
"4","age 16-17?","lvl 4","0 %","0 %","0 %","0 %","0 %"
"5","age 16-17?","lvl 5","0 %","0 %","0 %","0 %","0 %"
"6","age 18-20?","lvl 1","92 %","100 %","97 %","96 %","95 %"
"7","age 18-20?","lvl 2","8 %","0 %","3 %","4 %","5 %"
"8","age 18-20?","lvl 3","0 %","0 %","0 %","0 %","0 %"
"9","age 18-20?","lvl 4","0 %","0 %","0 %","0 %","0 %"
"10","age 18-20?","lvl 5","0 %","0 %","0 %","0 %","0 %"
"11","age 20-24","lvl 1","94 %","94 %","99 %","97 %","96 %"
"12","age 20-24","lvl 2","3 %","2 %","1 %","3 %","3 %"
"13","age 20-24","lvl 3","3 %","4 %","0 %","0 %","1 %"
"14","age 20-24","lvl 4","0 %","0 %","0 %","0 %","0 %"
"15","age 20-24","lvl 5","0 %","0 %","0 %","0 %","0 %"
"16","age 25-29","lvl 1","94 %","100 %","97 %","96 %","96 %"
"17","age 25-29","lvl 2","6 %","0 %","3 %","2 %","3 %"
"18","age 25-29","lvl 3","0 %","0 %","0 %","1 %","0 %"
"19","age 25-29","lvl 4","0 %","0 %","0 %","1 %","2 %"
"20","age 25-29","lvl 5","0 %","0 %","0 %","0 %","0 %"
"21","age 30-34","lvl 1","98 %","98 %","95 %","98 %","96 %"
"22","age 30-34","lvl 2","2 %","1 %","4 %","1 %","2 %"
"23","age 30-34","lvl 3","0 %","1 %","1 %","1 %","1 %"
"24","age 30-34","lvl 4","0 %","0 %","0 %","1 %","1 %"
"25","age 30-34","lvl 5","0 %","0 %","0 %","0 %","0 %"
"26","age 35-39","lvl 1","100 %","97 %","97 %","96 %","94 %"
"27","age 35-39","lvl 2","0 %","1 %","2 %","2 %","2 %"
"28","age 35-39","lvl 3","0 %","1 %","1 %","1 %","2 %"
"29","age 35-39","lvl 4","0 %","1 %","0 %","1 %","1 %"
"30","age 35-39","lvl 5","0 %","0 %","0 %","0 %","1 %"
"31","age 40-44","lvl 1","99 %","97 %","94 %","93 %","93 %"
"32","age 40-44","lvl 2","1 %","2 %","3 %","2 %","3 %"
"33","age 40-44","lvl 3","0 %","1 %","2 %","1 %","3 %"
"34","age 40-44","lvl 4","0 %","0 %","1 %","2 %","1 %"
"35","age 40-44","lvl 5","0 %","0 %","0 %","2 %","1 %"
"36","age 45-49","lvl 1","97 %","91 %","96 %","90 %","85 %"
"37","age 45-49","lvl 2","2 %","3 %","2 %","5 %","5 %"
"38","age 45-49","lvl 3","1 %","4 %","2 %","2 %","8 %"
"39","age 45-49","lvl 4","0 %","1 %","1 %","4 %","3 %"
"40","age 45-49","lvl 5","0 %","0 %","0 %","0 %","0 %"
"41","age 50-54","lvl 1","95 %","95 %","94 %","88 %","81 %"
"42","age 50-54","lvl 2","2 %","4 %","3 %","5 %","6 %"
"43","age 50-54","lvl 3","2 %","1 %","3 %","5 %","4 %"
"44","age 50-54","lvl 4","1 %","0 %","1 %","3 %","7 %"
"45","age 50-54","lvl 5","0 %","0 %","0 %","0 %","2 %"
"46","age 55-59","lvl 1","95 %","94 %","90 %","83 %","78 %"
"47","age 55-59","lvl 2","4 %","4 %","7 %","7 %","10 %"
"48","age 55-59","lvl 3","1 %","2 %","1 %","6 %","8 %"
"49","age 55-59","lvl 4","0 %","1 %","2 %","4 %","3 %"
"50","age 55-59","lvl 5","0 %","0 %","0 %","0 %","1 %"
"51","age 60-64","lvl 1","96 %","90 %","90 %","83 %","75 %"
"52","age 60-64","lvl 2","3 %","6 %","6 %","4 %","12 %"
"53","age 60-64","lvl 3","1 %","3 %","2 %","11 %","8 %"
"54","age 60-64","lvl 4","0 %","1 %","1 %","3 %","4 %"
"55","age 60-64","lvl 5","0 %","1 %","1 %","0 %","1 %"
"56","age 65-69","lvl 1","91 %","93 %","93 %","84 %","71 %"
"57","age 65-69","lvl 2","4 %","3 %","3 %","5 %","9 %"
"58","age 65-69","lvl 3","4 %","3 %","3 %","7 %","14 %"
"59","age 65-69","lvl 4","1 %","1 %","1 %","4 %","5 %"
"60","age 65-69","lvl 5","0 %","0 %","0 %","0 %","1 %"
"61","age 70-74","lvl 1","94 %","90 %","92 %","88 %","75 %"
"62","age 70-74","lvl 2","3 %","7 %","5 %","8 %","16 %"
"63","age 70-74","lvl 3","2 %","2 %","2 %","4 %","7 %"
"64","age 70-74","lvl 4","1 %","1 %","0 %","1 %","2 %"
"65","age 70-74","lvl 5","0 %","1 %","0 %","0 %","0 %"
"66","age 75-79","lvl 1","92 %","91 %","87 %","80 %","77 %"
"67","age 75-79","lvl 2","4 %","5 %","5 %","10 %","8 %"
"68","age 75-79","lvl 3","2 %","3 %","8 %","9 %","11 %"
"69","age 75-79","lvl 4","2 %","0 %","1 %","1 %","4 %"
"70","age 75-79","lvl 5","0 %","0 %","0 %","0 %","0 %"
"71","age 80-84","lvl 1","93 %","88 %","85 %","82 %","69 %"
"72","age 80-84","lvl 2","2 %","8 %","8 %","11 %","16 %"
"73","age 80-84","lvl 3","3 %","3 %","4 %","5 %","9 %"
"74","age 80-84","lvl 4","2 %","1 %","2 %","3 %","6 %"
"75","age 80-84","lvl 5","0 %","0 %","2 %","0 %","0 %"
"76","age 85-89","lvl 1","77 %","93 %","74 %","75 %","66 %"
"77","age 85-89","lvl 2","14 %","3 %","11 %","12 %","11 %"
"78","age 85-89","lvl 3","9 %","4 %","7 %","13 %","10 %"
"79","age 85-89","lvl 4","0 %","0 %","8 %","0 %","13 %"
"80","age 85-89","lvl 5","0 %","0 %","0 %","0 %","0 %"
"81","age 90+","lvl 1","80 %","54 %","72 %","53 %","72 %"
"82","age 90+","lvl 2","9 %","30 %","28 %","30 %","18 %"
"83","age 90+","lvl 3","5 %","16 %","0 %","17 %","11 %"
"84","age 90+","lvl 4","6 %","0 %","0 %","0 %","0 %"
"85","age 90+","lvl 5","0 %","0 %","0 %","0 %","0 %"
